Year	Data	Err-	Err+
-431900.30000	211.50000	0.85000	0.85000
-430229.31000	227.20000	1.10000	1.10000
-429073.76000	219.70000	0.85000	0.85000
-427228.36000	242.50000	0.75000	0.75000
-426890.20000	248.20000	0.45000	0.45000
-425991.40000	252.10000	0.35000	0.35000
-425204.96000	255.30000	0.65000	0.65000
-424671.56000	265.40000	1.00000	1.00000
-424287.27000	270.00000	1.25000	1.25000
-423790.91000	270.80000	0.55000	0.55000
-423182.26000	268.30000	0.95000	0.95000
-422557.75000	267.70000	1.45000	1.45000
-421275.50000	270.60000	0.55000	0.55000
-420582.65000	266.40000	0.90000	0.90000
-419962.15000	268.60000	0.70000	0.70000
-418751.76000	273.80000	0.80000	0.80000
-418183.76000	271.20000	0.75000	0.75000
-417625.78000	273.70000	0.40000	0.40000
-416555.30000	274.60000	0.90000	0.90000
-416006.78000	271.80000	0.85000	0.85000
-415490.44000	273.40000	0.75000	0.75000
-414475.32000	271.70000	0.60000	0.60000
-413995.61000	276.40000	0.80000	0.80000
-413229.59000	271.60000	1.50000	1.50000
-412260.86000	264.90000	1.50000	1.50000
-411308.65000	274.90000	1.50000	1.50000
-409397.97000	283.50000	1.50000	1.50000
-408503.80000	282.60000	1.50000	1.50000
-407648.24000	274.70000	1.50000	1.50000
-406868.72000	284.50000	1.50000	1.50000
-405332.50000	285.60000	1.50000	1.50000
-404592.80000	279.60000	1.50000	1.50000
-403112.63000	280.50000	1.50000	1.50000
-402363.30000	276.50000	1.50000	1.50000
-400909.84000	275.70000	1.50000	1.50000
-400190.92000	283.10000	1.50000	1.50000
-398760.08000	283.20000	1.50000	1.50000
-397976.16000	277.10000	1.50000	1.50000
-396325.13000	276.30000	1.50000	1.50000
-392956.10000	260.70000	1.50000	1.50000
-392053.69000	273.60000	1.50000	1.50000
-391027.15000	259.50000	1.50000	1.50000
-390337.25000	258.10000	1.50000	1.50000
-387460.21000	245.80000	1.50000	1.50000
-385874.82000	246.80000	1.50000	1.50000
-384333.71000	239.10000	1.50000	1.50000
-382607.45000	240.00000	1.50000	1.50000
-380981.49000	227.00000	1.50000	1.50000
-376810.24000	229.60000	1.50000	1.50000
-375084.88000	224.60000	1.50000	1.50000
-373254.60000	214.70000	1.50000	1.50000
-371507.62000	199.90000	1.50000	1.50000
-369435.87000	201.90000	1.50000	1.50000
-366115.90000	206.30000	1.50000	1.50000
-363240.23000	201.20000	1.50000	1.50000
-360617.60000	185.80000	1.50000	1.50000
-358733.84000	186.10000	1.50000	1.50000
-357060.38000	193.00000	1.50000	1.50000
-353867.77000	209.20000	1.50000	1.50000
-352462.98000	209.40000	1.50000	1.50000
-351224.60000	216.20000	1.50000	1.50000
-349726.35000	221.10000	1.50000	1.50000
-347189.09000	220.30000	1.50000	1.50000
-345594.81000	211.90000	1.50000	1.50000
-344370.91000	204.80000	1.50000	1.50000
-343050.85000	205.20000	1.50000	1.50000
-341973.59000	200.70000	1.50000	1.50000
-340841.56000	250.10000	1.50000	1.50000
-338785.08000	234.20000	1.50000	1.50000
-338033.89000	239.60000	1.50000	1.50000
-337041.44000	241.90000	1.50000	1.50000
-336263.50000	255.70000	1.50000	1.50000
-335566.67000	270.50000	1.50000	1.50000
-334917.82000	278.60000	1.50000	1.50000
-334427.54000	285.80000	1.50000	1.50000
